https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.74148E+12,09-03-2025 00:00,BTC/USD,86498,86823,80240,80952,128619914.4,1588.841713
1.74139E+12,08-03-2025 00:00,BTC/USD,87039,87140,85469,86494,75011931.02,867.2501101
1.74131E+12,07-03-2025 00:00,BTC/USD,90120,91454,84876,87042,124073096.6,1425.439403
1.74122E+12,06-03-2025 00:00,BTC/USD,90848,92997,88071,90120,52326346.01,580.6296717
1.74113E+12,05-03-2025 00:00,BTC/USD,87470,91262,86603,90848,87702925.39,965.3809153
1.74105E+12,04-03-2025 00:00,BTC/USD,86477,89168,81513,87472,201544909.6,2304.10771
1.74096E+12,03-03-2025 00:00,BTC/USD,94488,94633,85402,86478,149128695.1,1724.469751
1.74087E+12,02-03-2025 00:00,BTC/USD,86369,95321,85355,94466,220226619.6,2331.279186
1.74079E+12,01-03-2025 00:00,BTC/USD,84620,86819,84115,86379,133997795.4,1551.277456
1.7407E+12,28-02-2025 00:00,BTC/USD,85008,85330,78617,84654,345216103,4077.965637
1.74061E+12,27-02-2025 00:00,BTC/USD,84433,87320,83000,85007,186515902.8,2194.124047
1.74053E+12,26-02-2025 00:00,BTC/USD,88881,89623,82925,84432,352833300.3,4178.904921
1.74044E+12,25-02-2025 00:00,BTC/USD,91925,92833,86241,88888,451263395.6,5076.763968
1.74036E+12,24-02-2025 00:00,BTC/USD,96450,96659,91833,91971,131731543.9,1432.316098
1.74027E+12,23-02-2025 00:00,BTC/USD,96720,96767,95391,96450,17488556.67,181.3225161
1.74018E+12,22-02-2025 00:00,BTC/USD,96346,97143,95965,96721,16843008.72,174.1401425
1.7401E+12,21-02-2025 00:00,BTC/USD,98433,99574,95024,96345,66116507.32,686.2474163
1.74001E+12,20-02-2025 00:00,BTC/USD,96801,98862,96615,98433,19500322.27,198.1075683
1.73992E+12,19-02-2025 00:00,BTC/USD,95835,97056,95250,96801,71106730.01,734.5660686
1.73984E+12,18-02-2025 00:00,BTC/USD,95953,96923,93569,95835,167387500.4,1746.621802
1.73975E+12,17-02-2025 00:00,BTC/USD,96257,97163,95444,95955,62630779.46,652.7099105
1.73966E+12,16-02-2025 00:00,BTC/USD,97596,97723,96159,96257,22093505.64,229.526223
1.73958E+12,15-02-2025 00:00,BTC/USD,97488,97969,97254,97574,5981726.045,61.30450781
1.73949E+12,14-02-2025 00:00,BTC/USD,96791,98821,96431,97489,61113927,626.8802326
1.7394E+12,13-02-2025 00:00,BTC/USD,98006,98166,95362,96815,71772005.36,741.3314606
1.73932E+12,12-02-2025 00:00,BTC/USD,95950,98200,94398,98007,157923708.1,1611.351313
1.73923E+12,11-02-2025 00:00,BTC/USD,97551,98645,95024,95950,106679848.9,1111.827503
1.73915E+12,10-02-2025 00:00,BTC/USD,96614,98468,95391,97550,51463637.85,527.5616387
